time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-05 00:00:00+00:00,65,51,25,14
2023-09-06 00:00:00+00:00,41,29,55,13
2023-09-07 00:00:00+00:00,35,23,35,18
2023-09-08 00:00:00+00:00,60,30,66,18
2023-09-09 00:00:00+00:00,26,16,45,24
2023-09-10 00:00:00+00:00,135,32,45,19
2023-09-11 00:00:00+00:00,91,35,46,20
2023-09-12 00:00:00+00:00,85,29,72,32
2023-09-13 00:00:00+00:00,104,36,124,25
2023-09-14 00:00:00+00:00,137,36,62,25
2023-09-15 00:00:00+00:00,187,69,37,16
2023-09-16 00:00:00+00:00,94,40,43,18
2023-09-17 00:00:00+00:00,74,22,17,11
2023-09-18 00:00:00+00:00,106,35,43,19
2023-09-19 00:00:00+00:00,126,55,28,13
2023-09-20 00:00:00+00:00,117,49,31,22
2023-09-21 00:00:00+00:00,132,30,44,26
2023-09-22 00:00:00+00:00,74,28,39,16
2023-09-23 00:00:00+00:00,52,17,29,14
2023-09-24 00:00:00+00:00,41,19,22,8
2023-09-25 00:00:00+00:00,75,35,64,29
2023-09-26 00:00:00+00:00,47,26,45,26
2023-09-27 00:00:00+00:00,85,33,71,31
2023-09-28 00:00:00+00:00,67,30,78,26
2023-09-29 00:00:00+00:00,91,33,46,27
2023-09-30 00:00:00+00:00,79,13,48,13
2023-10-01 00:00:00+00:00,45,19,44,24
2023-10-02 00:00:00+00:00,181,90,80,22
2023-10-03 00:00:00+00:00,91,55,80,34
2023-10-04 00:00:00+00:00,62,36,45,19
2023-10-05 00:00:00+00:00,76,40,34,22
2023-10-06 00:00:00+00:00,66,30,44,26
2023-10-07 00:00:00+00:00,45,27,79,33
2023-10-08 00:00:00+00:00,37,20,33,14
2023-10-09 00:00:00+00:00,54,35,92,18
2023-10-10 00:00:00+00:00,36,27,14,11
2023-10-11 00:00:00+00:00,55,31,100,27
2023-10-12 00:00:00+00:00,39,24,91,22
2023-10-13 00:00:00+00:00,71,27,50,20
2023-10-14 00:00:00+00:00,36,18,51,22
2023-10-15 00:00:00+00:00,43,23,80,16
2023-10-16 00:00:00+00:00,67,32,49,16
2023-10-17 00:00:00+00:00,29,18,21,15
2023-10-18 00:00:00+00:00,23,15,37,20
2023-10-19 00:00:00+00:00,81,45,63,32
2023-10-20 00:00:00+00:00,75,35,67,40
2023-10-21 00:00:00+00:00,30,18,39,12
2023-10-22 00:00:00+00:00,18,10,21,13
2023-10-23 00:00:00+00:00,88,38,47,17
2023-10-24 00:00:00+00:00,48,27,24,16
2023-10-25 00:00:00+00:00,43,19,86,21
2023-10-26 00:00:00+00:00,43,22,41,19
2023-10-27 00:00:00+00:00,35,14,30,17
2023-10-28 00:00:00+00:00,49,21,40,16
2023-10-29 00:00:00+00:00,66,18,81,15
2023-10-30 00:00:00+00:00,48,23,40,26
2023-10-31 00:00:00+00:00,44,15,43,21
2023-11-01 00:00:00+00:00,70,23,65,18
2023-11-02 00:00:00+00:00,23,11,23,17
2023-11-03 00:00:00+00:00,43,23,33,21
2023-11-04 00:00:00+00:00,49,17,105,21
2023-11-05 00:00:00+00:00,45,19,16,14
2023-11-06 00:00:00+00:00,56,19,27,15
2023-11-07 00:00:00+00:00,73,35,60,27
2023-11-08 00:00:00+00:00,96,46,45,27
2023-11-09 00:00:00+00:00,70,28,58,15
2023-11-10 00:00:00+00:00,70,33,41,16
2023-11-11 00:00:00+00:00,32,21,21,12
2023-11-12 00:00:00+00:00,27,16,21,13
2023-11-13 00:00:00+00:00,51,32,34,21
2023-11-14 00:00:00+00:00,131,92,70,22
2023-11-15 00:00:00+00:00,112,52,41,26
2023-11-16 00:00:00+00:00,99,45,22,16
2023-11-17 00:00:00+00:00,56,28,35,23
2023-11-18 00:00:00+00:00,23,15,33,10
2023-11-19 00:00:00+00:00,62,22,107,14
2023-11-20 00:00:00+00:00,47,31,24,18
2023-11-21 00:00:00+00:00,44,24,22,12
2023-11-22 00:00:00+00:00,42,24,54,11
2023-11-23 00:00:00+00:00,57,22,63,20
2023-11-24 00:00:00+00:00,65,25,37,16
2023-11-25 00:00:00+00:00,52,18,43,15
2023-11-26 00:00:00+00:00,42,19,25,15
2023-11-27 00:00:00+00:00,41,21,69,21
2023-11-28 00:00:00+00:00,19,11,21,16
2023-11-29 00:00:00+00:00,47,24,52,20
2023-11-30 00:00:00+00:00,42,19,34,18
2023-12-01 00:00:00+00:00,82,29,92,26
2023-12-02 00:00:00+00:00,79,28,48,22
2023-12-03 00:00:00+00:00,39,17,26,18
2023-12-04 00:00:00+00:00,54,24,30,23
2023-12-05 00:00:00+00:00,67,33,56,21
2023-12-06 00:00:00+00:00,44,19,36,15
2023-12-07 00:00:00+00:00,48,19,37,20
2023-12-08 00:00:00+00:00,54,20,21,11
2023-12-09 00:00:00+00:00,68,29,33,17
2023-12-10 00:00:00+00:00,66,21,38,20
2023-12-11 00:00:00+00:00,71,25,50,19
2023-12-12 00:00:00+00:00,53,24,19,11
2023-12-13 00:00:00+00:00,59,24,25,15
2023-12-14 00:00:00+00:00,69,24,17,10
2023-12-15 00:00:00+00:00,72,24,37,15
2023-12-16 00:00:00+00:00,58,16,34,17
2023-12-17 00:00:00+00:00,38,20,23,13
2023-12-18 00:00:00+00:00,39,15,26,10
2023-12-19 00:00:00+00:00,26,12,48,18
2023-12-20 00:00:00+00:00,45,20,30,9
2023-12-21 00:00:00+00:00,29,13,145,20
2023-12-22 00:00:00+00:00,43,14,12,10
2023-12-23 00:00:00+00:00,51,20,31,10
2023-12-24 00:00:00+00:00,55,15,55,16
2023-12-25 00:00:00+00:00,39,14,44,18
2023-12-26 00:00:00+00:00,39,14,71,33
2023-12-27 00:00:00+00:00,51,23,113,24
